rank,dataset,classifier,params,accuracy,macro_f1,balanced_accuracy,source_file
81,GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.50625,0.496910617,0.50625,GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1.tsv.gz
82,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.503125,0.503081326,0.503125,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1.tsv.gz
83,parity5+5,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.502669039,0.502668645,0.502716746,parity5+5.tsv.gz
84,Hill_Valley_with_noise,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.499174917,0.484719503,0.499174917,Hill_Valley_with_noise.tsv.gz
85,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.498125,0.457267183,0.498125,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001.tsv.gz
86,GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.4925,0.468202679,0.4925,GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1.tsv.gz
87,parity5,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.46875,0.464039409,0.46875,parity5.tsv.gz
88,iris,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.44,0.431935796,0.58,iris.tsv.gz
89,cloud,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.361111111,0.354405154,0.570028587,cloud.tsv.gz
90,pendigits,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.351164483,0.351788721,0.639188485,pendigits.tsv.gz
91,analcatdata_happiness,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.35,0.339108495,0.5125,analcatdata_happiness.tsv.gz
92,segmentation,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.338095238,0.335629974,0.613888889,segmentation.tsv.gz
93,yeast,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.310344828,0.211824881,0.562809545,yeast.tsv.gz
94,analcatdata_germangss,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.2975,0.291639405,0.531666667,analcatdata_germangss.tsv.gz
95,mfeat_morphological,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.257,0.251972174,0.587222222,mfeat_morphological.tsv.gz
96,led24,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.1771875,0.158919665,0.542907032,led24.tsv.gz
97,led7,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.1771875,0.159746616,0.542610188,led7.tsv.gz
98,analcatdata_dmft,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.17565872,0.176117989,0.505924641,analcatdata_dmft.tsv.gz
99,krkopt,XGBClassifier,"n_estimators=350,learning_rate=3.98271493432151,gamma=0.1834347898661638,max_depth=8,subsample=0.5986584841970366,seed=324089,nthread=1",0.121934702,0.08328927,0.519802876,krkopt.tsv.gz
