Dataset,Dataset_Type,Balanced_Accuracy_Seed1,Balanced_Accuracy_Seed374,Balanced_Accuracy_Seed714,Balanced_Accuracy_Average,Accuracy_Seed1,Accuracy_Seed374,Accuracy_Seed714,Accuracy_Average,Macro_F1_Score_Seed1,Macro_F1_Score_Seed374,Macro_F1_Score_Seed714,Macro_F1_Score_Average,Times_Seed1,Times_Seed374,Times_Seed714,Times_Average
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,bottom,0.64125,0.660625,0.6343749999999999,0.6454166666666666,0.64125,0.660625,0.634375,0.6454166666666666,0.6403953771384807,0.6603319035839911,0.6343714294084903,0.6450329033769874,2.008198800001992,0.9536256999708712,2.6680697998963296,1.876631433289731
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,bottom,0.7625,0.7625,0.755625,0.7602083333333333,0.7625,0.7625,0.755625,0.7602083333333333,0.7553245089185826,0.7577519379844961,0.7498551550990004,0.7543105340006931,3.831497499995749,3.259430899983272,0.6807903000153601,2.590572899998127
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,bottom,0.549375,0.5587500000000001,0.593125,0.5670833333333333,0.549375,0.55875,0.593125,0.5670833333333333,0.5493353908058325,0.5587472421702636,0.5924523872406608,0.5668450067389189,1.541667400000733,2.430783800082281,3.130400500027463,2.367617233370159
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,bottom,0.684375,0.6956249999999999,0.6825,0.6875,0.684375,0.695625,0.6825,0.6875,0.6843541624427549,0.6951819421901912,0.6824821396203536,0.6873394147510999,0.4460937000112608,0.6517567001283169,3.0077648998703808,1.3685384333366528
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,bottom,0.7206250000000001,0.72,0.7175,0.719375,0.720625,0.72,0.7175,0.719375,0.7185004481085568,0.7185204732374544,0.7169582403819812,0.7179930539093308,1.074888799994369,0.9502828000113368,1.8281658999621868,1.284445833322631
haberman,bottom,0.6476543209876543,0.6417283950617284,0.6353086419753087,0.6415637860082305,0.7549019607843137,0.7287581699346405,0.696078431372549,0.7265795206971678,0.6578048816854787,0.644459998600126,0.627878391631252,0.6433810906389522,0.1082385000772774,3.698382299975492,6.7003431000048295,3.5023213000191995
Hill_Valley_with_noise,bottom,0.6171617161716172,0.6221122112211221,0.6542904290429044,0.6311881188118812,0.6171617161716172,0.6221122112211221,0.6542904290429042,0.6311881188118812,0.6015372581029146,0.6092370246891332,0.6432727464306411,0.6180156764075629,0.6976252000022214,1.4135384999681264,6.404180499957874,2.8384480666427407
Hill_Valley_without_noise,bottom,0.6160130718954249,0.6124346405228758,0.6138725490196079,0.6141067538126362,0.6188118811881188,0.613036303630363,0.6163366336633663,0.616061606160616,0.5841312375412568,0.6113001860661673,0.5896649563912534,0.5950321266662258,0.6045798999984981,2.089064999949187,1.897205799818039,1.5302835665885748
krkopt,bottom,0.6847570936625966,0.4124722051064949,,0.5486146493845457,0.69428999144568,0.5059523809523809,,0.6001211861990305,0.6860220920029659,0.4187675084244746,,0.5523948002137202,56.97947130003013,80.2460181999486,,68.61274474998936
agaricus_lepiota,top,1.0,0.9998817407757804,1.0,0.9999605802585935,1.0,0.99987722529159,1.0,0.9999590750971966,1.0,0.999877047185124,1.0,0.9999590157283746,6.436594599974342,2.840077599976212,3.3733222999144346,4.21666483328833
