dataset,target_column,rows,features,classes,class_imbalance,missing_values_count,missing_values_ratio,numeric_features,categorical_features,feature_type,xgb_accuracy,xgb_macro_f1,xgb_balanced_accuracy,rf_accuracy,rf_macro_f1,rf_balanced_accuracy,logreg_accuracy,logreg_macro_f1,logreg_balanced_accuracy,n_models_success,mean_accuracy_3models,mean_macro_f1_3models,mean_balanced_accuracy_3models,std_accuracy_3models,selected_for_mlp_eval,selection_rank_top40,selection_score,selection_justification_short
kr_vs_kp.tsv.gz,target,3196,36,2,0.000987036,0,0,36,0,numeric,0.561952441,0.554104582,0.568970043,0.970588235,0.970539492,0.970697213,0.964330413,0.964274886,0.96448273,3,0.832290363,0.829639653,0.834716662,0.191174849,TRUE,16,0.840305319,"selected: all-3-model coverage; avg_acc=0.832, avg_macro_f1=0.830, avg_bal_acc=0.835; stability_std_acc=0.191; medium dataset (3196 rows, 36 features), well-balanced (class_imbalance=0.001)"
krkopt.tsv.gz,target,28056,6,18,0.04879828,0,0,6,0,numeric,0.121934702,0.08328927,0.519802876,0.416666667,0.292053505,0.636582689,0.24750499,0.111030328,0.548627497,3,0.262035453,0.162124368,0.568337688,0.120761703,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
labor.tsv.gz,target,57,16,2,0.044475223,0,0,16,0,numeric,0.684210526,0.644736842,0.641891892,0.894736842,0.886904762,0.895945946,0.929824561,0.922972973,0.922972973,3,0.83625731,0.818204859,0.82027027,0.108463374,TRUE,19,0.831905566,"selected: all-3-model coverage; avg_acc=0.836, avg_macro_f1=0.818, avg_bal_acc=0.820; stability_std_acc=0.108; small dataset (57 rows, 16 features), well-balanced (class_imbalance=0.044)"
led24.tsv.gz,target,3200,24,10,0.000169727,0,0,24,0,numeric,0.1771875,0.158919665,0.542907032,0.71875,0.717957836,0.843628473,0.723125,0.718683438,0.846074507,3,0.5396875,0.531853646,0.744203337,0.256332431,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
led7.tsv.gz,target,3200,7,10,0.000392773,0,0,7,0,numeric,0.1771875,0.159746616,0.542610188,0.7425,0.735232197,0.854970087,0.6821875,0.644230009,0.820757954,3,0.533958333,0.513069607,0.739446076,0.253473825,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
letter.tsv.gz,target,20000,16,26,3.36E-05,0,0,16,0,numeric,,,,0.8039,0.805773823,0.897627658,0.58005,0.555641411,0.780927714,2,0.691975,0.680707617,0.839277686,0.111925,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
lupus.tsv.gz,target,87,3,2,0.019091029,0,0,3,0,numeric,0.586206897,0.565482797,0.56510989,0.735632184,0.717572336,0.713461538,0.735632184,0.73209265,0.741483516,3,0.685823755,0.671715927,0.673351648,0.070439756,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
lymphography.tsv.gz,target,148,18,4,0.220325055,0,0,18,0,numeric,,,,0.858108108,0.599404762,0.745457743,0.831081081,0.633927673,0.764328722,2,0.844594595,0.616666218,0.754893232,0.013513514,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
magic.tsv.gz,target,19020,10,2,0.044027395,0,0,10,0,numeric,0.579495268,0.5753731,0.60338941,0.839064143,0.809329883,0.791584154,0.681861199,0.675986836,0.703886357,3,0.700140203,0.686896606,0.699619974,0.106753897,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
mfeat_factors.tsv.gz,target,2000,216,10,0,0,0,216,0,numeric,0.5965,0.59573718,0.775833333,,,,0.9775,0.977480019,0.9875,2,0.787,0.7866086,0.881666667,0.1905,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
mfeat_fourier.tsv.gz,target,2000,76,10,0,0,0,76,0,numeric,0.553,0.552055536,0.751666667,,,,0.7875,0.780431734,0.881944444,2,0.67025,0.666243635,0.816805556,0.11725,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
mfeat_karhunen.tsv.gz,target,2000,64,10,0,0,0,64,0,numeric,0.737,0.736122634,0.853888889,0.9355,0.935499053,0.964166667,0.9315,0.931403464,0.961944444,3,0.868,0.86767505,0.926666667,0.092645381,TRUE,12,0.889152934,"selected: all-3-model coverage; avg_acc=0.868, avg_macro_f1=0.868, avg_bal_acc=0.927; stability_std_acc=0.093; medium dataset (2000 rows, 64 features), well-balanced (class_imbalance=0.000)"
mfeat_morphological.tsv.gz,target,2000,6,10,0,0,0,6,0,numeric,0.257,0.251972174,0.587222222,0.7425,0.72567114,0.856944444,0.7345,0.728412992,0.8525,3,0.578,0.568685435,0.765555556,0.227004772,FALSE,,,not selected: lower composite score or incomplete 3-model coverage
mfeat_pixel.tsv.gz,target,2000,240,10,0,0,0,240,0,numeric,0.7115,0.710209325,0.839722222,0.9555,0.955522359,0.975277778,0.9525,0.952517161,0.973611111,3,0.873166667,0.872749615,0.929537037,0.114322157,TRUE,10,0.893454958,"selected: all-3-model coverage; avg_acc=0.873, avg_macro_f1=0.873, avg_bal_acc=0.930; stability_std_acc=0.114; medium dataset (2000 rows, 240 features), well-balanced (class_imbalance=0.000)"
